UF,Consumo,Mes,Ano
Pará,231749.0,ABR,2011.0
Amapá,43509.0,ABR,2011.0
Tocantins,65224.0,ABR,2011.0
Maranhão,222998.0,ABR,2011.0
Piauí,122610.0,ABR,2011.0
Ceará,318782.0,ABR,2011.0
Rio Grande do Norte,168361.0,ABR,2011.0
Paraíba,151249.0,ABR,2011.0
Pernambuco,426003.0,ABR,2011.0
Alagoas,129257.0,ABR,2011.0
Sergipe,98119.0,ABR,2011.0
Bahia,594996.0,ABR,2011.0
Minas Gerais,896729.0,ABR,2011.0
Espírito Santo,207730.0,ABR,2011.0
Rio de Janeiro,1172903.0,ABR,2011.0
São Paulo,3138293.0,ABR,2011.0
Paraná,585576.0,ABR,2011.0
Santa Catarina,460566.0,ABR,2011.0
Rio Grande do Sul,678193.0,ABR,2011.0
Mato Grosso do Sul,149880.0,ABR,2011.0
Mato Grosso,208479.0,ABR,2011.0
Goiás,296743.0,ABR,2011.0
Distrito Federal,186683.0,ABR,2011.0
Rondônia,92198.0,MAI,2011.0
Acre,33477.0,MAI,2011.0
Amazonas,165618.0,MAI,2011.0
Roraima,35022.0,MAI,2011.0
Pará,246142.0,MAI,2011.0
Amapá,43672.0,MAI,2011.0
Tocantins,63404.0,MAI,2011.0
Maranhão,234079.0,MAI,2011.0
Piauí,123368.0,MAI,2011.0
Ceará,329431.0,MAI,2011.0
Rio Grande do Norte,176191.0,MAI,2011.0
Paraíba,150361.0,MAI,2011.0
Pernambuco,436031.0,MAI,2011.0
Alagoas,112634.0,MAI,2011.0
Sergipe,91542.0,MAI,2011.0
Bahia,564525.0,MAI,2011.0
Minas Gerais,840340.0,MAI,2011.0
Espírito Santo,188564.0,MAI,2011.0
Rio de Janeiro,1086117.0,MAI,2011.0
São Paulo,3061472.0,MAI,2011.0
Paraná,567663.0,MAI,2011.0
Santa Catarina,401882.0,MAI,2011.0
Rio Grande do Sul,619191.0,MAI,2011.0
Mato Grosso do Sul,134928.0,MAI,2011.0
Mato Grosso,200978.0,MAI,2011.0
Goiás,353564.0,MAI,2011.0
Distrito Federal,189391.0,MAI,2011.0
Rondônia,96984.0,JUN,2011.0
Acre,34573.0,JUN,2011.0
Amazonas,173372.0,JUN,2011.0
Roraima,32112.0,JUN,2011.0
Pará,244945.0,JUN,2011.0
Amapá,43602.0,JUN,2011.0
Tocantins,69617.0,JUN,2011.0
Maranhão,237707.0,JUN,2011.0
Piauí,126916.0,JUN,2011.0
Ceará,332296.0,JUN,2011.0
Rio Grande do Norte,170036.0,JUN,2011.0
Paraíba,147245.0,JUN,2011.0
Pernambuco,397312.0,JUN,2011.0
Alagoas,111654.0,JUN,2011.0
Sergipe,86199.0,JUN,2011.0
Bahia,511455.0,JUN,2011.0
Minas Gerais,819266.0,JUN,2011.0
Espírito Santo,180343.0,JUN,2011.0
Rio de Janeiro,969807.0,JUN,2011.0
São Paulo,2883429.0,JUN,2011.0
Paraná,551876.0,JUN,2011.0
Santa Catarina,410860.0,JUN,2011.0
Rio Grande do Sul,630974.0,JUN,2011.0
Mato Grosso do Sul,127178.0,JUN,2011.0
Mato Grosso,197295.0,JUN,2011.0
Goiás,346084.0,JUN,2011.0
Distrito Federal,179711.0,JUN,2011.0
Rondônia,93492.0,JUL,2011.0
Acre,34676.0,JUL,2011.0
Amazonas,181883.0,JUL,2011.0
Roraima,34950.0,JUL,2011.0
Pará,291331.0,JUL,2011.0
Amapá,46901.0,JUL,2011.0
Tocantins,63244.0,JUL,2011.0
Maranhão,234777.0,JUL,2011.0
Piauí,129376.0,JUL,2011.0
Ceará,307490.0,JUL,2011.0
